Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,Application ID,Application Description,Short Description,Lots,DECISION,Approval Date,Approval Year,APPLICATION_NO,RAM_PROCESS_CTR,locality,legal_description,formatted_address,Determined By,TR TYPE,CHARGE_TYPE,Initial Balance,Charge Amount,Amount,CHARGE_CTR,Reference
S94-05,Open Space,S94-05 - Structured Open Space (Local),546,0,,,,,0,DA20/0343,conversion of an existing two storey dwelling house to a dual occupancy (attached),conversion of an existing two storey dwelling house to a dua,1,Approved,2021-06-29,2021,854826,854826,BANORA POINT,Lot 17 DP 31457,1 Kittiwake Street BANORA POINT NSW 2486,Council,LEVIED,StructOS_5,546,546,546,11662158,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),849,0,,,,,0,DA17/0325,detached dual occupancy,detached dual occupancy,2,Approved,2017-08-02,2017,743126,743126,MURWILLUMBAH,"Lot 507 DP 1222426
Being Lots 1-2 SP 96768",76 Rous River Way MURWILLUMBAH NSW 2484,Council,LEVIED,CasOS_26,849,849,849,9002336,
S94-05,Open Space,S94-05 - Casual Open Space (Local),414,0,,,,,414,DA15/0563,detached dual occupancy,detached dual occupancy,2,Approved,2015-12-22,2015,669840,669840,CABARITA BEACH,Lots 8-9 Sec 5 DP 31209,6-8 Palm Avenue CABARITA BEACH NSW 2488,Council,LEVIED,CasualOS_5,414,414,414,7488930,
S94-04,Roads,S94-04 - Road Contribution Sector 09,177846,DA18/0338 (as per S96 dated 28/9/18) AM,,,,,0,DA18/0338,warehouse comprising 4 units and use of an existing office as an office and amenities,warehouse comprising 4 units and use of an existing office a,1,Approved,2018-08-15,2018,776630,776630,SOUTH MURWILLUMBAH,Lot 208 DP 1122768,39-45 Kite Crescent SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,Sector9_4,10670.6,106707.6,177846,9707238,DA18/0338 (as per S96 dated 28/9/18) AM
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),2316,0,,,,,0,DA16/0448,farm stay accommodation,farm stay accommodation,1,Approved,2016-10-25,2016,705661,705661,BYANGUM,Lot 11 DP 835413,2 Boulder Close BYANGUM NSW 2484,Council,LEVIED,ComFac15,2316,2316,2316,8095671,
S94-22,Roads,S94-22 - Cycleways,303,DA15/0102 as per re-calc 17/11/16,,,,,0,DA15/0102,multi-dwelling housing comprising of three units and a pool,multi-dwelling housing comprising of three units and a pool,5,Approved,2015-06-05,2015,654423,654423,TWEED HEADS,Lot 5 DP 9173,24 Thomson Street TWEED HEADS NSW 2485,Council,LEVIED,Shirewid22,299,303,303,7006432,DA15/0102 as per re-calc 17/11/16
S94-13,Other,S94-13 - Eviron Cemetery,,,-52,0,,,0,DA16/0053,single storey dual occupancy,single storey dual occupancy,2,Approved,2016-04-08,2016,689183,689183,MURWILLUMBAH,Lot 359 DP 1196575,23 Talganda Terrace MURWILLUMBAH NSW 2484,Council,PAID,ResDevt13,52,52,-52,7592117,
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-451.2,0,,,0,DA15/0443,2 lot subdivision,2 lot subdivision,2,Approved,2015-11-12,2015,666596,666596,BILAMBIL,"Lot 2 DP 528642 Lot 1 DP 1167543

Rates 01/07/2019 to 09/0
7/2019",33-41 Hogans Road BILAMBIL NSW 2486,Council,PAID,CasualOS_5,451.2,451.2,-451.2,7451316,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-3934.06,0,,,0,DA22/0045,two lot subdivision,two lot subdivision,2,Approved,2022-06-07,2022,921397,921397,BANORA POINT,Lot 2 DP 521256,10 Seaview Road BANORA POINT NSW 2486,Council,PAID,StrucOS_26,3934.06,3934.06,-3934.06,12321648,
S94-05,Open Space,S94-05 - Structured Open Space (Local),415.14,0,,,,,0,DA15/0265,2 lot subdivision,2 lot subdivision,2,Approved,2015-06-02,2015,661033,661033,TYGALGAH,Lot 11 DP 1205073,29 Racecourse Road TYGALGAH NSW 2484,Council,LEVIED,StructOS_5,629,629,415.14,6999913,
S94-12,Roads,S94-12 - Bus Shelters,31469,"DA16/0056 (Stg 1A),DA16/0056 (Stg 1B),DA16/0056 (Stg 2A),DA16/0056 (Stg 2B),DA16/0056 (Stg 3),DA16/0056 (Stg 4A),DA16/0056 (Stg 4B),DA16/0056 (Stg 5A),DA16/0056 (Stg 5B),DA16/0056 (Stg 6A),DA16/0056 (Stg 6B),DA16/0056 (Stg 7A),DA16/0056 (Stg 7B),DA16/0056 (Stg 8A),DA16/0056 (Stg 8B),DA16/0056 (Stg 9A),DA16/0056 (Stg 9B),DA16/0056 (Stg 10A),DA16/0056 (Stg 10B),DA16/0056 (Stg 10C),DA16/0056 (Stg 11A),DA16/0056 (Stg 11B)",,,,,31469,DA16/0056,"staged development application under Section 83B of the EP&A Act 1979 development of precincts 6, 7, 8, 9, 10, 11 & 12 – Cobaki Lakes, stage 2 – part Precinct 6 and Stage 3 part Precinct 7 comprising 452 residential lots, 8 public open space lots, 1 school lot, residual lots and associated infrastructure (JRPP)",staged development application under Section 83B of the EP&A,473,DefdComnce,2017-12-18,2017,689324,689324,COBAKI LAKES,"Lot 1 DP 562222 Lot 2 DP 566529 Lot 1 DP 570076 Lot 1 DP 570
077 Lots 46 54-55 199-202 205-206 209 228 305 DP 755740 Lot",Piggabeen Road COBAKI LAKES NSW 2486,Council-Deferred,LEVIED,Over10ET,31469,31469,31469,9151326,"DA16/0056 (Stg 1A),DA16/0056 (Stg 1B),DA16/0056 (Stg 2A),DA16/0056 (Stg 2B),DA16/0056 (Stg 3),DA16/0056 (Stg 4A),DA16/0056 (Stg 4B),DA16/0056 (Stg 5A),DA16/0056 (Stg 5B),DA16/0056 (Stg 6A),DA16/0056 (Stg 6B),DA16/0056 (Stg 7A),DA16/0056 (Stg 7B),DA16/0056 (Stg 8A),DA16/0056 (Stg 8B),DA16/0056 (Stg 9A),DA16/0056 (Stg 9B),DA16/0056 (Stg 10A),DA16/0056 (Stg 10B),DA16/0056 (Stg 10C),DA16/0056 (Stg 11A),DA16/0056 (Stg 11B)"
S94-13,Other,S94-13 - Eviron Cemetery,,,-4455,0,,,0,DA16/0645,52 unit residential flat building including basement parking and swimming pool,52 unit residential flat building including basement parking,1,Approved,2017-06-02,2017,714418,714418,TWEED HEADS,Lot 24 Sec 5 DP 4043,40 Enid Street TWEED HEADS NSW 2485,Council,PAID,ResDevt13,4455,4455,-4455,8342292,
S94-13,Other,S94-13 - Eviron Cemetery,125,0,,,,,0,DA16/0328,rural workers dwelling,rural workers dwelling,1,Approved,2016-11-16,2016,701531,701531,CUDGERA CREEK,"Lots 271 329 DP 755701 Lot 1 DP 122620 Lots 164 174 DP 75572
1",1628-1630 Reserve Creek Road CUDGERA CREEK NSW 2484,Council,LEVIED,ResDevt13,125,125,125,8119111,
S94-13,Other,S94-13 - Eviron Cemetery,,,-143,0,,,0,DA20/0079,attached dual occupancy and two swimming pools,attached dual occupancy and two swimming pools,2,Approved,2020-09-11,2020,843630,843630,KINGSCLIFF,"Lot 3 DP 1251576
Being Lots 1-2 SP 105856",54 Cylinders Drive KINGSCLIFF NSW 2487,Council,PAID,ResDevt13,143,143,-143,11371457,
S94-22,Roads,S94-22 - Cycleways,,,-424,0,,,795,DA14/0887,farm stay accommodation including 1 tourist accommodation house and 3 tourist cabins - three stages,farm stay accommodation including 1 tourist accommodation ho,1,Approved,2015-11-20,2015,647680,647680,CONDONG,"Lot 11 DP 726503
Lot 528 DP 1003396",1006 Clothiers Creek Road CONDONG NSW 2484,Council,PAID,Shirewid22,795,795,-424,7457895,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,,,-1814,0,,,0,DA21/0977,detached two storey dual occupancy,detached two storey dual occupancy,2,Approved,2022-12-16,2022,916688,916688,BOGANGAR,Lot 9 DP 247427,9 Cooley Street BOGANGAR NSW 2488,Council,PAID,Sector7_4,1814,1814,-1814,12829628,
S94-22,Roads,S94-22 - Cycleways,426,0,,,,,0,DA20/0416,"dual occupancy (attached) with dual use as residential and tourist and visitor accommodation, two pools, and strata subdivision",dual occupancy (attached) with dual use as residential and t,1,Approved,2020-12-09,2020,857263,857263,KINGSCLIFF,"Lot 9 DP 1262504
Being Lots 1-2 SP 104140",80A Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Shirewid22,426,426,426,11454700,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),983,0,,,,,0,DA21/0200,detached dual occupancy,detached dual occupancy,2,Approved,2021-11-24,2021,888757,888757,TERRANORA,Lot 7 DP 1264394,87 Henry Lawson Drive TERRANORA NSW 2486,Council,LEVIED,CasOS_26,983,983,983,12132256,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),926.64,0,,,,,0,DA15/0265,2 lot subdivision,2 lot subdivision,2,Approved,2015-06-02,2015,661033,661033,TYGALGAH,Lot 11 DP 1205073,29 Racecourse Road TYGALGAH NSW 2484,Council,LEVIED,ComFac15,1404,1404,926.64,6999910,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),12301,0,,,,,0,DA18/0558,residential flat building comprising 15 units (12 x 2 bedroom units and 3 x 3 bedroom units),residential flat building comprising 15 units (12 x 2 bedroo,1,Approved,2018-12-14,2018,784964,784964,TWEED HEADS SOUTH,Lot B DP 379713,32 Dry Dock Road TWEED HEADS SOUTH NSW 2486,Council,LEVIED,CasOS_26,12301,12301,12301,9831729,
S94-13,Other,S94-13 - Eviron Cemetery,445,DA16/0896 (residential/tourist component)JT,,,,,0,DA16/0896,mixed use development including shops and dual use shop top housing and serviced apartments,mixed use development including shops and dual use shop top ,1,Approved,2017-10-11,2017,725441,725441,BOGANGAR,"Lot 101 DP 1257512
Being Lots 1-2 SP 100662",49 Tweed Coast Road BOGANGAR NSW 2488,Council,LEVIED,ResDevt13,445,445,445,9082469,DA16/0896 (residential/tourist component)JT
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-4193.71,0,,,2096.86,DA17/0149,eco-tourist facility,eco-tourist facility,1,Approved,2018-06-28,2018,735821,735821,SMITHS CREEK,Lot 1 DP 773918,7 Minto Place SMITHS CREEK NSW 2484,Council,PAID,Shirewide,6290.57,6290.57,-4193.71,9345525,
S94-27,Open Space,S94-27 - Tweed Heads Master Plan - LocalOS/Streets,8376,0,,,,,0,DA16/0766,"demolition of existing dwelling, construction of nine senior housing units, hydrotherapy pool and associated communal facilities","demolition of existing dwelling, construction of nine senior",9,Approved,2017-05-05,2017,720000,720000,TWEED HEADS,Lot 81 DP 237806,7 Powell Street TWEED HEADS NSW 2485,Council,LEVIED,OpenSpac27,8376,8376,8376,8313181,
S94-05,Open Space,S94-05 - Structured Open Space (Local),714,DA17/0096 (as per recalc 18/9/18)JT,,,,,0,DA17/0096,detached dual occupancy and strata subdivision,detached dual occupancy and strata subdivision,2,Approved,2017-05-11,2017,733344,733344,TWEED HEADS SOUTH,"Lot 40 DP 1255175
Being Lots 1-2 SP 100011",26 Cooloon Crescent TWEED HEADS SOUTH NSW 2486,Council,LEVIED,StructOS_5,714,714,714,8319901,DA17/0096 (as per recalc 18/9/18)JT
S94-22,Roads,S94-22 - Cycleways,7742.72,0,,,,,7742.72,DA18/0398,17 lot residential subdivision,17 lot residential subdivision,17,Approved,2019-06-12,2019,778744,778744,BRAY PARK,Lot A DP 374054,11 Edward Street BRAY PARK NSW 2484,Council,LEVIED,Shirewid22,7742.72,7742.72,7742.72,10009373,
S94-12,Roads,S94-12 - Bus Shelters,,,-36,0,,,0,DA16/0764,alterations and additions to existing dual occupancy development to create multi-dwelling housing (comprised three (3) dwellings) and associated works,alterations and additions to existing dual occupancy develop,1,Approved,2017-04-05,2017,719968,719968,POTTSVILLE,Lot 2 DP 615444,9 Elizabeth Street POTTSVILLE NSW 2489,Council,PAID,Over10ET,36,36,-36,8282605,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1425,0,,,,,0,DA16/0369,dual occupancy (detached) and strata subdivision,dual occupancy (detached) and strata subdivision,2,Approved,2016-07-19,2016,702831,702831,POTTSVILLE,"Lot 1704 DP 1215252
Being Lots 1-2 SP 94810",36 Seabreeze Boulevard POTTSVILLE NSW 2489,Council,LEVIED,ComFac15,1425,1425,1425,7972991,
S94-04,Roads,S94-04 - Road Contribution Sector 01,,,-16427,0,,,0,DA19/0031,multi dwelling housing comprising six town houses,multi dwelling housing comprising six town houses,6,Approved,2019-12-13,2019,801487,801487,TWEED HEADS WEST,Lot 15 Sec 3 DP 9025,191 Kennedy Drive TWEED HEADS WEST NSW 2485,Council,PAID,Sector1_4,16427,16427,-16427,10810907,
S94-22,Roads,S94-22 - Cycleways,155,0,,,,,0,DA15/0959,change of use of one tourist accommodation unit to dual use shop top housing and serviced apartments,change of use of one tourist accommodation unit to dual use ,1,Approved,2016-01-13,2016,682832,682832,TWEED HEADS,Lot 18 SP 79995,18/14-18 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,Shirewid22,155,155,155,7512348,
S94-04,Roads,S94-04 - Road Contribution Sector 01,0,DA16/0513 (raised in error)JT,,,,,0,DA16/0513,change of use to dual use shop top housing and serviced apartments,change of use to dual use shop top housing and serviced apar,1,Approved,2016-11-03,2016,708913,708913,TWEED HEADS,Lot 23 SP 79995,23/14-18 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,Sector1_4,613,613,0,8110120,DA16/0513 (raised in error)JT
S94-12,Roads,S94-12 - Bus Shelters,757.1,"DA17/0836 (Stg 1),DA17/0836 (Stg 2),DA17/0836 (Stg1 as per recalc) KLM",,,,,688.7,DA17/0836,staged development: two lot subdivision (stage 1) and 12 lot community title subdivision (stage 2) and associated civil works,staged development: two lot subdivision (stage 1) and 12 lot,13,Approved,2019-02-13,2019,761736,761736,BOGANGAR,Lot 12 DP 1208402,79 Tamarind Avenue BOGANGAR NSW 2488,Council,LEVIED,Over10ET,757.57,757.57,757.1,9887334,"DA17/0836 (Stg 1),DA17/0836 (Stg 2),DA17/0836 (Stg1 as per recalc) KLM"
S94-22,Roads,S94-22 - Cycleways,21229,0,,,,,21229,DA21/0637,residential flat building comprising of 47 units (NRPP),residential flat building comprising of 47 units (NRPP),47,Approved,2022-06-03,2022,904110,904110,CASUARINA,Lot 59 DP 1264557,5 Grand Parade CASUARINA NSW 2487,Council,LEVIED,Shirewid22,21229,21229,21229,12316663,
S94-12,Roads,S94-12 - Bus Shelters,,,-57,0,,,0,DA17/0097,detached dual occupancy,detached dual occupancy,2,Approved,2018-04-06,2018,733403,733403,KINGSCLIFF,Lot B DP 101901,18 Boomerang Street KINGSCLIFF NSW 2487,Council,PAID,Over10ET,50,50,-57,9259888,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-1595.17,0,,,0,DA20/0343,conversion of an existing two storey dwelling house to a dual occupancy (attached),conversion of an existing two storey dwelling house to a dua,1,Approved,2021-06-29,2021,854826,854826,BANORA POINT,Lot 17 DP 31457,1 Kittiwake Street BANORA POINT NSW 2486,Council,PAID,Shirewide,1595.17,1595.17,-1595.17,11662165,
S94-05,Open Space,S94-05 - Casual Open Space (Local),1692,"DA17/0106 (Stg 1),DA17/0106 (Stg 2)",,,,,1128,DA17/0106,rural land sharing community comprising 6 dwellings (including 1 existing dwelling),rural land sharing community comprising 6 dwellings (includi,1,Approved,2017-10-30,2017,733665,733665,CRABBES CREEK,Lot 2 DP 777181,57 Crabbes Creek Road CRABBES CREEK NSW 2483,Council,LEVIED,CasualOS_5,1692,1692,1692,9100928,"DA17/0106 (Stg 1),DA17/0106 (Stg 2)"
S94-27,Open Space,S94-27 - Tweed Heads Master Plan - LocalOS/Streets,,,-8376,0,,,0,DA16/0766,"demolition of existing dwelling, construction of nine senior housing units, hydrotherapy pool and associated communal facilities","demolition of existing dwelling, construction of nine senior",9,Approved,2017-05-05,2017,720000,720000,TWEED HEADS,Lot 81 DP 237806,7 Powell Street TWEED HEADS NSW 2485,Council,PAID,OpenSpac27,8376,8376,-8376,8313181,
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-645,0,,,0,DA14/0760,detached dual occupancy,detached dual occupancy,1,Approved,2015-02-19,2015,642884,642884,POTTSVILLE,"Lot 70 DP 1236698
Being Lots 1-2 SP 97249",70 Elanora Avenue POTTSVILLE NSW 2489,Council,PAID,StructOS_5,645,645,-645,6907227,
S94-05,Open Space,S94-05 - Structured Open Space (Local),660,0,,,,,0,DA19/0260,dual occupancy (detached),dual occupancy (detached),1,Approved,2019-08-05,2019,812371,812371,BURRINGBAR,Lot 3 Sec 1 DP 3090,15 Broadway BURRINGBAR NSW 2483,Council,LEVIED,StructOS_5,660,660,660,10668312,
S94-11,Community Facilities,S94-11 - Library Facilities,30789,DA16/0645 (as per recalc 9/7/2018)JT,,,,,0,DA16/0645,52 unit residential flat building including basement parking and swimming pool,52 unit residential flat building including basement parking,1,Approved,2017-06-02,2017,714418,714418,TWEED HEADS,Lot 24 Sec 5 DP 4043,40 Enid Street TWEED HEADS NSW 2485,Council,LEVIED,ResDevt11,30789,30789,30789,8342294,DA16/0645 (as per recalc 9/7/2018)JT
S94-26,Open Space,S94-26 - Casual Open Space (Regional),27695,DA14/0605 (as per re-calc - SH),,,,,0,DA14/0605,"multi dwelling housing (29 town houses), 29 lot strata subdivision and associated works","multi dwelling housing (29 town houses), 29 lot strata subdi",29,Approved,2015-02-10,2015,637671,637671,CASUARINA,"Lot 16 DP 1198266
Being Lots 1-29 SP 94481",15 Dianella Drive CASUARINA NSW 2487,Council,LEVIED,CasOS_26,27299,27299,27695,6902692,DA14/0605 (as per re-calc - SH)
S94-05,Open Space,S94-05 - Structured Open Space (Local),129,DA19/0251 (as per recalc) KLM,,,,,0,DA19/0251,use of alterations and proposed alterations to lot 1 of existing dual occupancy,use of alterations and proposed alterations to lot 1 of exis,1,Approved,2019-08-26,2019,811784,811784,TWEED HEADS WEST,Lot 1 SP 41499,1/30 Wyuna Road TWEED HEADS WEST NSW 2485,Council,LEVIED,StructOS_5,126,126,129,10689208,DA19/0251 (as per recalc) KLM
S94-28,Other,S94-28 - Seaside City,56864,"DA18/0318 (as per recalc 2/5/2019) AM,DA18/0318 (as per recalc 23/9/2019) SH",,,,,56864,DA18/0318,"two storey dwelling with attached garage,  in-ground swimming pool and 1.8 m high fencing within the building line","two storey dwelling with attached garage,  in-ground swimmin",1,Approved,2018-06-13,2018,775833,775833,KINGSCLIFF,Lot 24 DP 1145386,79 Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,Seaside28,56864,56864,56864,9341915,"DA18/0318 (as per recalc 2/5/2019) AM,DA18/0318 (as per recalc 23/9/2019) SH"
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-27.29,0,,,0,DA17/0215,change of use for tenancy 7 to business premises (beauty salon and hairdresser) including use of mezzanine and construction of associated signage,change of use for tenancy 7 to business premises (beauty sal,2,Approved,2017-08-10,2017,738258,738258,TWEED HEADS,Lot 7 SP 93739,7/29 Wharf Street TWEED HEADS NSW 2485,Council,PAID,Shirewide,27.29,27.29,-27.29,9014539,
S94-11,Community Facilities,S94-11 - Library Facilities,638,0,,,,,638,DA15/0563,detached dual occupancy,detached dual occupancy,2,Approved,2015-12-22,2015,669840,669840,CABARITA BEACH,Lots 8-9 Sec 5 DP 31209,6-8 Palm Avenue CABARITA BEACH NSW 2488,Council,LEVIED,ResDevt11,638,638,638,7488928,
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-484,0,,,0,DA15/0711,additions and alterations to an existing dwelling to create an attached dual occupancy,additions and alterations to an existing dwelling to create ,1,Approved,2016-04-20,2016,674567,674567,FINGAL HEAD,Lot 337 DP 755740,19 Queen Street FINGAL HEAD NSW 2487,Council,PAID,StructOS_5,474,474,-484,7606282,
S94-11,Community Facilities,S94-11 - Library Facilities,871,"DA15/0903 (stage 1),DA15/0903 (stage 2),DA15/0903 (Stg 2 as per recalc 17/5/2019) AM",,,,,233,DA15/0903,dual occupancy in 2 stages,dual occupancy in 2 stages,2,Approved,2016-06-20,2016,680749,680749,MURWILLUMBAH,"Lot 108 DP 1142485
Being Lots 1-2 SP 99686",7 Woodgee Street MURWILLUMBAH NSW 2484,Council,LEVIED,ResDevt11,233,233,871,7666084,"DA15/0903 (stage 1),DA15/0903 (stage 2),DA15/0903 (Stg 2 as per recalc 17/5/2019) AM"
S94-13,Other,S94-13 - Eviron Cemetery,140,DA18/0584 (as per recalc 12/6/20)JT,,,,,0,DA18/0584,"two lot subdivision, construction of a 1.8m boundary fence and demolition of existing dwelling","two lot subdivision, construction of a 1.8m boundary fence a",2,Approved,2019-01-31,2019,785519,785519,TWEED HEADS,Lot 3 Sec 3 DP 10803,27 Margaret Street TWEED HEADS NSW 2485,Council,LEVIED,ResDevt13,140,140,140,9873391,DA18/0584 (as per recalc 12/6/20)JT
